Iteration,AgentID,Collisions detected,Emergency breaks,KPI1,Initial cost,Executed cost,KPI2
0,1,3.0,1.0,0.33,3.8,5.08,1.34
0,2,2.0,1.0,0.5,3.8,4.6,1.21
0,3,3.0,0.0,0.0,5.21,5.42,1.04
1,1,3.0,0.0,0.0,3.8,4.11,1.08
1,2,4.0,1.0,0.25,3.8,5.08,1.34
1,3,3.0,0.0,0.0,5.21,5.37,1.03
2,1,6.0,1.0,0.17,3.8,5.32,1.4
2,2,7.0,2.0,0.29,3.8,5.08,1.34
2,3,9.0,1.0,0.11,5.21,6.61,1.27
3,1,2.0,1.0,0.5,3.8,4.6,1.21
3,2,3.0,1.0,0.33,3.8,5.08,1.34
3,3,3.0,0.0,0.0,5.21,5.42,1.04
4,1,7.0,2.0,0.29,3.8,5.08,1.34
4,2,15.0,3.0,0.2,3.8,5.17,1.36
4,3,18.0,4.0,0.22,5.21,6.41,1.23
5,1,2.0,1.0,0.5,3.8,4.6,1.21
5,2,2.0,1.0,0.5,3.8,4.71,1.24
5,3,2.0,0.0,0.0,5.21,5.21,1.0
6,1,15.0,4.0,0.27,3.8,5.08,1.34
6,2,11.0,2.0,0.18,3.8,5.17,1.36
6,3,22.0,5.0,0.23,5.21,6.41,1.23
7,1,2.0,2.0,1.0,3.8,4.6,1.21
7,2,2.0,0.0,0.0,3.8,4.11,1.08
7,3,2.0,0.0,0.0,5.21,5.42,1.04
8,1,2.0,1.0,0.5,3.8,4.6,1.21
8,2,2.0,1.0,0.5,3.8,4.71,1.24
8,3,2.0,0.0,0.0,5.21,5.21,1.0
9,1,2.0,1.0,0.5,3.8,4.6,1.21
9,2,2.0,1.0,0.5,3.8,4.71,1.24
9,3,2.0,0.0,0.0,5.21,5.21,1.0
