Step,AgentID,Path cost,Cost so far,Collisions detected,Emergency breaks
0.0,1,3.8,0.0,0,0
0.0,2,3.8,0.0,0,0
0.0,3,5.21,0.0,0,0
1.0,1,3.0,0.8,0,0
1.0,2,4.2,0.4,1,1
1.0,3,4.16,1.05,1,0
2.0,1,3.6,1.4,2,1
2.0,2,3.8,0.8,2,1
2.0,3,3.6,1.77,2,0
3.0,1,3.28,1.8,3,1
3.0,2,3.2,1.4,2,1
3.0,3,3.02,2.4,3,0
4.0,1,2.63,2.45,3,1
4.0,2,2.4,2.2,2,1
4.0,3,2.17,3.25,3,0
5.0,1,2.19,2.89,3,1
5.0,2,1.8,2.8,2,1
5.0,3,1.32,4.1,3,0
6.0,1,1.35,3.73,3,1
6.0,2,1.2,3.4,2,1
6.0,3,0.6,4.82,3,0
7.0,1,0.63,4.45,3,1
7.0,2,0.6,4.0,2,1
7.0,3,0.0,5.42,3,0
8.0,1,0.0,5.08,3,1
8.0,2,0.0,4.6,2,1
8.0,3,0.0,5.42,3,0
